COH	DAC	ELOC	HALSTEADLENGHT	HALSTEADVOCABULARY	HALSTEADVOLUME	ID	LCC	LCOM	LOC	MCCABEMETRIC	MPC	NAME	NOA	NOO	NUMBEROFCHILDREN	NUMBEROFIMPORTS	NUMBOFATTRIBUTES	NUMBOFMETHODS	PATTERNROLE	PATTERNTYPE	RFC	TCC
-1	0	14	26	50	101.71259814113179	530	0	0	26	1	3	com.netflix.discovery.internal.util.InternalPrefixedConfigTest	0	0	0	4	0	1			4	0
0	2	50	98	314	563.4405126190088	529	-1	0	71	22	14	com.netflix.discovery.internal.util.InternalPrefixedConfig	0	0	0	2	2	10	adaptee	(Object)Adapter	24	-1
-1	0	25	56	145	278.6970895755521	525	0	0	38	6	9	com.netflix.discovery.internal.util.AmazonInfoUtils	0	0	0	6	0	1			10	0
1	2	23	71	139	350.3476492522791	517	0	0	44	4	8	com.netflix.discovery.internal.util.Archaius1Utils	0	0	0	6	3	1			9	0
-1	0	24	40	110	188.01921463169666	523	-1	3	51	4	16	com.netflix.discovery.guice.EurekaClientModuleConfigurationTest	0	0	0	10	0	3			19	-1
0	1	38	67	170	344.09849528236754	509	0	0	87	7	23	com.netflix.discovery.guice.NonEc2EurekaClientModuleTest	0	0	0	19	1	4			27	0
0	1	39	69	176	356.76339565763243	524	0	0	96	7	23	com.netflix.discovery.guice.Ec2EurekaClientModuleTest	0	0	0	20	1	4			27	0
0	1	44	78	252	431.295468825891	519	-1	15	116	12	14	com.netflix.discovery.guice.InternalEurekaClientModule	0	0	0	25	2	6			20	0
-1	0	21	93	166	475.41486431715856	522	-1	10	62	8	9	com.netflix.discovery.guice.EurekaClientModule	0	0	0	4	0	5			14	-1
0	1	39	64	168	327.93369468180856	239	0	0	81	7	24	com.netflix.discovery.guice.EurekaModuleTest	0	0	0	20	1	4			28	0
-1	0	19	40	75	172.6995245414524	235	-1	3	52	6	9	com.netflix.discovery.guice.EurekaModule	0	0	0	13	0	3			12	0
0	1	41	69	179	357.9296206030121	505	0	0	85	7	25	com.netflix.discovery.guice.Jersey2EurekaModuleTest	0	0	0	21	1	4			29	0
-1	0	22	44	87	196.4999572208017	503	-1	6	59	8	10	com.netflix.discovery.guice.Jersey2EurekaModule	0	0	0	16	0	4			14	0
0	3	33	49	152	246.17014552146753	531	0	2	60	9	14	com.netflix.appinfo.Ec2EurekaArchaius2InstanceConfigTest	0	0	0	9	3	5			19	0
0	4	74	149	478	919.271999141227	313	-1	29	124	26	10	com.netflix.appinfo.Ec2EurekaArchaius2InstanceConfig	9	2	0	7	4	11	adapter	(Object)Adapter	21	-1
0	5	111	137	539	861.6910332145327	315	-1	0	190	58	34	com.netflix.appinfo.EurekaArchaius2InstanceConfig	15	13	1	12	6	28			62	8
0	3	37	52	150	260.5530352930053	506	2	0	71	16	6	com.netflix.appinfo.Archaius2AmazonInfoConfig	0	0	0	7	3	9	adapter	(Object)Adapter	15	2
1	1	60	66	255	365.7233939804561	528	2	0	95	10	48	com.netflix.appinfo.RefreshableAmazonInfoProviderTest	0	0	0	9	1	7			55	2
-1	0	11	54	108	252.83508626470788	217	0	0	37	2	3	com.netflix.appinfo.AmazonInfoTest	0	0	0	4	0	1			4	0
0	4	54	68	248	374.9131547392188	454	1	3	90	11	31	com.netflix.appinfo.ApplicationInfoManagerTest	0	0	0	13	4	6			37	1
-1	0	69	88	314	505.9465827599263	179	-1	28	142	16	63	com.netflix.appinfo.InstanceInfoTest	0	0	0	15	0	8			71	0
0	3	33	49	152	246.17014552146753	455	0	2	58	9	12	com.netflix.appinfo.CloudInstanceConfigTest	0	0	0	7	3	5			17	0
-1	0	7	26	30	88.43113192321604	203	0	0	12	1	0	com.netflix.appinfo.HealthCheckHandler	0	0	0	0	0	1			1	0
-1	0	137	458	1911	3460.3649304620453	71	0	325	376	98	0	com.netflix.appinfo.EurekaInstanceConfig	0	0	0	2	0	26	state	State	26	0
0	5	157	342	1079	2388.456168118282	68	-1	1	258	37	34	com.netflix.appinfo.ApplicationInfoManager	0	0	0	9	7	15	context	State	49	-1
-1	1	16	26	66	108.93102329268706	512	-1	0	22	0	0	com.netflix.appinfo.PropertyBasedAmazonInfoConfigConstants	0	0	0	0	6	0			0	-1
-1	0	36	115	243	631.702065984163	510	0	21	54	17	0	com.netflix.appinfo.AmazonInfoConfig	0	0	0	0	0	7	state	State	7	0
0	4	90	190	578	1208.3190350477519	69	-1	61	161	32	13	com.netflix.appinfo.CloudInstanceConfig	12	2	0	7	4	14	adapter	(Object)Adapter	27	-1
1	1	18	45	85	199.91930654206425	202	1	0	28	5	1	com.netflix.appinfo.HealthCheckCallbackToHandlerBridge	0	0	0	0	1	3	context	State	4	1
0	2	154	240	947	1644.7917823646587	75	0	16	247	22	0	com.netflix.appinfo.LeaseInfo	0	0	0	4	8	8			8	0
0	2	122	216	717	1420.216381569518	77	10	0	301	60	62	com.netflix.appinfo.PropertiesInstanceConfig	15	13	2	9	3	28			90	10
0	6	83	125	395	747.3607206126403	66	-1	149	226	35	12	com.netflix.appinfo.AbstractInstanceConfig	0	0	2	7	11	18	adapter	(Object)Adapter	30	-1
1	1	26	58	90	260.98896087915534	73	0	0	65	4	6	com.netflix.appinfo.HealthCheckResource	0	0	0	6	1	1			7	0
-1	0	14	36	58	146.1759483796711	76	0	3	44	3	0	com.netflix.appinfo.MyDataCenterInstanceConfig	3	0	0	3	0	3			3	0
0	3	106	208	778	1384.5991170291054	527	1	0	150	21	33	com.netflix.appinfo.RefreshableAmazonInfoProvider	0	0	0	7	3	7	context	State	40	1
-1	1	35	52	170	267.0615187266136	513	-1	0	49	0	0	com.netflix.appinfo.PropertyBasedInstanceConfigConstants	0	0	0	0	23	0			0	-1
