COH	DAC	ELOC	HALSTEADLENGHT	HALSTEADVOCABULARY	HALSTEADVOLUME	ID	LCC	LCOM	LOC	MCCABEMETRIC	MPC	NAME	NOA	NOO	NUMBEROFCHILDREN	NUMBEROFIMPORTS	NUMBOFATTRIBUTES	NUMBOFMETHODS	PATTERNROLE	PATTERNTYPE	RFC	TCC
0	3	34	38	122	182.55279969986375	135	0	8	152	8	0	jadx.samples.TestEnum	5	0	0	4	7	5			5	0
0	5	137	196	784	1306.22416798868	146	-1	55	197	22	12	jadx.samples.TestGenerics	10	1	0	5	5	11			23	-1
-1	0	20	37	91	166.90180174112345	204	-1	1	42	4	5	jadx.samples.TestAnnotationsParser	1	1	0	4	0	2			7	-1
-1	0	195	157	1125	1103.0095153982477	131	-1	153	219	63	21	jadx.samples.TestCF	17	1	0	0	0	18			39	-1
-1	0	33	1351	1439	9824.071708004834	558	-1	3	44	7	5	jadx.samples.TestUnicode	2	1	0	2	0	3			8	-1
0	2	39	63	190	330.5625165461106	215	-1	4	48	10	7	jadx.samples.TestCF4	3	1	0	0	3	4			11	-1
0	5	33	74	195	390.2019673337173	136	-1	3	48	6	8	jadx.samples.TestFields	2	1	0	1	8	3			11	-1
-1	0	89	159	681	1037.2464066777725	128	0	3	114	14	27	jadx.samples.RunTests	0	0	0	10	0	3			30	0
-1	0	79	106	455	648.7515264088007	154	-1	66	101	35	20	jadx.samples.TestConditions	11	1	0	0	0	12			32	-1
-1	0	16	35	66	146.6379159709249	243	-1	1	25	3	1	jadx.samples.TestImports	1	1	0	1	0	2			3	-1
0	3	80	84	404	504.11884974873664	373	0	3	103	8	6	jadx.samples.TestInitializers	2	1	0	0	4	3			9	0
0	1	51	79	258	438.68380720880776	138	-1	30	67	20	14	jadx.samples.TestInvoke	8	1	0	1	1	9			23	-1
-1	0	11	26	52	102.73233668311711	134	0	1	16	6	0	jadx.samples.TestDeadCode	1	1	0	0	0	2			2	0
0	3	195	182	335	1058.1717567921621	133	-1	180	255	68	45	jadx.samples.TestCF3	19	1	0	4	3	20			65	-1
-1	0	107	95	154	478.5104972292948	140	-1	28	123	27	12	jadx.samples.TestSwitch	7	1	0	0	0	8			20	-1
-1	0	28	36	129	174.95324655702018	248	-1	15	40	11	1	jadx.samples.TestImports2	5	1	0	2	0	6			7	-1
0	1	25	39	121	187.03583127827292	199	-1	1	37	5	1	jadx.samples.TestInnerNames	1	1	0	0	1	2			3	-1
0	1	34	73	177	377.8589304778895	187	-1	13	49	10	6	jadx.samples.TestTypeResolver2	5	1	0	0	1	6			12	-1
-1	0	17	34	74	146.3382131689418	139	-1	3	25	5	6	jadx.samples.TestStringProcessing	2	1	0	0	0	3			9	-1
0	1	63	77	448	470.06907889595385	374	-1	1	85	5	4	jadx.samples.TestInner3	1	1	0	0	1	2			6	-1
0	1	38	68	205	361.96467858141176	129	-1	9	106	15	11	jadx.samples.TestAnnotations	6	1	0	7	1	7			18	-1
0	2	62	84	318	484.01231615353487	149	-1	2	87	9	11	jadx.samples.TestInner2	3	1	0	1	5	4			15	-1
-1	0	41	62	228	336.6194289951753	130	-1	15	50	15	7	jadx.samples.TestArrays	5	1	0	0	0	6			13	-1
0	2	106	103	619	662.0948430865134	132	-1	64	117	46	11	jadx.samples.TestCF2	11	1	0	0	2	12			23	-1
0	2	215	140	1249	998.2137914175809	141	-1	147	227	66	35	jadx.samples.TestTryCatch	17	1	0	1	2	18			53	-1
-1	0	41	49	274	275.0432772130155	127	0	28	50	23	2	jadx.samples.AbstractTest	0	0	26	0	0	8			10	0
1	1	89	92	481	568.17978884973	137	3	0	116	12	11	jadx.samples.TestInner	7	1	0	0	1	8			19	3
0	1	22	42	114	198.9203348325688	142	-1	8	54	8	1	jadx.samples.TestTypeResolver	4	1	0	0	1	5			6	-1
-1	0	4	9	10	20.723265836946414	250	-1	0	7	0	0	jadx.samples.otherpkg.D	0	0	0	0	0	0			0	-1
-1	0	4	8	9	17.577796618689757	244	-1	0	7	0	0	jadx.samples.otherpkg.A	0	0	0	0	0	0			0	-1
-1	0	4	9	10	20.723265836946414	249	-1	0	7	0	0	jadx.samples.otherpkg.C	0	0	0	0	0	0			0	-1
