COH	DAC	ELOC	HALSTEADLENGHT	HALSTEADVOCABULARY	HALSTEADVOLUME	ID	LCC	LCOM	LOC	MCCABEMETRIC	MPC	NAME	NOA	NOO	NUMBEROFCHILDREN	NUMBEROFIMPORTS	NUMBOFATTRIBUTES	NUMBOFMETHODS	PATTERNROLE	PATTERNTYPE	RFC	TCC
-1	0	88	97	516	605.8723562517116	204	-1	6	142	7	24	com.netflix.discovery.DiscoveryClientHealthTest	2	2	0	6	0	4			28	0
-1	0	126	152	772	1010.645651603766	162	-1	66	191	35	68	com.netflix.discovery.DiscoveryClientRegistryTest	12	0	0	10	0	12			80	0
0	4	165	193	813	1293.2411041427274	197	0	106	234	31	68	com.netflix.discovery.AbstractDiscoveryClientTester	0	0	2	15	22	17			85	0
0	6	154	191	803	1277.4757503638314	194	0	11	243	27	74	com.netflix.discovery.DiscoveryStatusCheckerTest	0	0	0	27	14	14			88	0
0	5	118	130	701	851.8260253144967	201	3	0	194	14	27	com.netflix.discovery.TimedSupervisorTaskTest	0	0	0	13	9	7			34	3
-1	0	50	61	232	332.2509796716449	195	-1	15	87	10	46	com.netflix.discovery.EurekaLifecycleTest	0	0	0	12	0	6			52	0
0	2	28	62	134	303.6660675969565	175	0	1	52	8	13	com.netflix.discovery.DiscoveryClientDisableRegistryTest	0	0	0	10	2	3			16	0
0	4	146	182	762	1207.7422731349698	172	-1	29	192	33	79	com.netflix.discovery.BackUpRegistryTest	0	0	0	13	13	14			93	-1
0	2	40	60	225	324.9660241322652	173	1	0	59	13	3	com.netflix.discovery.MockBackupRegistry	0	0	0	5	2	6			9	1
-1	0	54	49	271	274.5038222231054	167	-1	10	85	10	48	com.netflix.discovery.InstanceRegionCheckerTest	0	0	0	5	0	5			53	0
0	6	205	280	1827	2102.9205557858418	196	-1	52	270	24	19	com.netflix.discovery.MockRemoteEurekaServer	0	0	0	19	13	12			31	-1
-1	0	8	59	72	252.32330102194726	78	0	1	41	2	0	com.netflix.discovery.BackupRegistry	0	0	0	2	0	2			2	0
0	28	1333	1582	7194	14049.74615157231	80	-1	665	1929	245	390	com.netflix.discovery.DiscoveryClient	0	0	0	60	49	58	context	State	448	-1
0	4	77	147	442	895.4225526654216	81	-1	23	130	21	5	com.netflix.discovery.DiscoveryManager	0	0	0	6	5	11	singleton	Singleton	16	-1
0	4	155	237	848	1598.062710682681	79	-1	0	483	79	84	com.netflix.discovery.DefaultEurekaClientConfig	0	0	0	12	8	39			123	17
1	1	12	32	45	121.81319967265023	171	0	0	22	3	2	com.netflix.discovery.PropertyBasedAzToRegionMapper	1	1	0	3	1	2	context	State	4	0
0	1	34	86	180	446.5942891765581	186	1	0	50	12	1	com.netflix.discovery.StatusChangeEvent	0	0	0	1	2	5			6	1
-1	0	21	85	150	425.90399999818175	169	0	3	32	6	0	com.netflix.discovery.AzToRegionMapper	0	0	0	0	0	3	state	State	3	0
-1	0	187	517	2092	3952.9178016205483	82	0	630	492	122	0	com.netflix.discovery.EurekaClientConfig	0	0	0	3	0	36	state	State	36	0
0	2	31	52	150	260.5530352930053	161	-1	0	47	10	7	com.netflix.discovery.InstanceRegionChecker	0	0	0	5	2	5	context	State	12	1
0	4	101	204	772	1356.3928482050544	168	-1	18	145	19	23	com.netflix.discovery.AbstractAzToRegionMapper	0	0	2	14	5	8	abstractClass	Template Method	31	-1
0	5	47	115	246	633.1131266322217	192	1	1	81	11	10	com.netflix.discovery.EurekaUpStatusResolver	0	0	0	11	5	6			16	1
0	8	58	120	348	702.2642975729369	200	0	0	83	6	12	com.netflix.discovery.TimedSupervisorTask	0	0	0	12	11	2			14	0
-1	0	38	72	231	391.8540751575691	193	-1	0	76	1	3	com.netflix.discovery.InternalEurekaStatusModule	0	0	0	10	0	1			4	-1
-1	0	13	40	62	165.08537540180367	170	-1	0	24	3	3	com.netflix.discovery.DNSBasedAzToRegionMapper	0	1	0	4	0	1			4	-1
1	1	16	33	89	148.12500020116062	207	0	0	30	5	7	com.netflix.discovery.EurekaIdentityHeaderFilter	0	0	0	5	1	2	context	State	9	0
-1	0	11	28	48	108.39362830542095	211	0	1	22	4	0	com.netflix.discovery.NotImplementedRegistryImpl	0	0	0	2	0	2			2	0
-1	0	26	61	133	298.311296821527	216	0	1	51	4	17	com.netflix.discovery.shared.ApplicationsTest	0	0	0	8	0	2			19	0
-1	0	253	305	2138	2338.625957933422	93	-1	10	430	17	4	com.netflix.discovery.shared.EurekaJerseyClient	0	0	0	30	0	5			9	0
0	8	353	516	2633	4063.953646300096	92	-1	201	513	65	74	com.netflix.discovery.shared.Applications	0	0	0	25	13	22			96	-1
-1	0	31	170	314	977.3968076044031	94	0	6	85	11	0	com.netflix.discovery.shared.LookupService	0	0	0	2	0	4			4	0
0	2	26	55	134	269.3811889973001	95	1	0	51	7	0	com.netflix.discovery.shared.Pair	0	0	0	0	2	5	adaptee	(Object)Adapter	5	1
0	5	137	223	942	1527.105176230529	91	-1	25	237	28	30	com.netflix.discovery.shared.Application	0	0	0	18	5	14			44	-1
-1	0	11	54	108	252.83508626470788	217	0	0	37	2	3	com.netflix.appinfo.AmazonInfoTest	0	0	0	4	0	1			4	0
-1	0	37	58	172	298.5546796551803	179	-1	10	77	10	29	com.netflix.appinfo.InstanceInfoTest	0	0	0	6	0	5			34	0
-1	0	7	26	30	88.43113192321604	203	0	0	12	1	0	com.netflix.appinfo.HealthCheckHandler	0	0	0	0	0	1			1	0
-1	0	127	382	1713	2844.3725723598136	71	0	276	347	92	0	com.netflix.appinfo.EurekaInstanceConfig	0	0	0	2	0	24	state	State	24	0
0	3	63	186	430	1127.864048815895	68	2	0	131	17	10	com.netflix.appinfo.ApplicationInfoManager	0	0	0	7	4	8	context	State	18	2
0	4	74	193	527	1209.569705868483	69	-1	1	152	19	21	com.netflix.appinfo.CloudInstanceConfig	7	0	0	11	4	7			28	0
1	1	18	45	85	199.91930654206425	202	1	0	28	5	1	com.netflix.appinfo.HealthCheckCallbackToHandlerBridge	0	0	0	0	1	3	context	State	4	1
0	2	138	171	789	1140.7010408646445	75	0	21	213	17	0	com.netflix.appinfo.LeaseInfo	0	0	0	1	8	7			7	0
0	4	153	264	868	1786.2746126703325	77	9	0	357	56	61	com.netflix.appinfo.PropertiesInstanceConfig	13	13	2	10	25	26			87	9
0	5	80	118	384	702.1758212053518	66	-1	167	228	36	12	com.netflix.appinfo.AbstractInstanceConfig	0	0	1	6	10	19	adapter	(Object)Adapter	31	-1
1	1	26	58	90	260.98896087915534	73	0	0	65	4	6	com.netflix.appinfo.HealthCheckResource	0	0	0	6	1	1			7	0
-1	0	14	36	58	146.1759483796711	76	0	3	45	3	0	com.netflix.appinfo.MyDataCenterInstanceConfig	3	0	0	3	0	3			3	0
-1	0	12	102	155	514.4293619257631	72	0	0	54	3	0	com.netflix.appinfo.HealthCheckCallback	0	0	0	0	0	1	state	State	1	0
-1	0	7	23	25	74.03414397196862	180	0	0	10	1	0	com.netflix.appinfo.UniqueIdentifier	0	0	0	0	0	1			1	0
0	1	9	21	51	82.56833828721084	205	0	3	18	3	0	com.netflix.appinfo.AbstractEurekaIdentity	0	0	2	1	4	3	state	State	3	0
0	6	70	126	435	765.4935999171743	67	1	8	299	26	7	com.netflix.appinfo.AmazonInfo	0	0	0	16	11	8			15	1
1	1	10	27	31	92.71765452109895	70	0	0	31	1	0	com.netflix.appinfo.DataCenterInfo	0	0	0	1	1	1			1	0
0	1	20	42	87	187.56814098349253	206	0	4	30	7	0	com.netflix.appinfo.EurekaClientIdentity	1	3	0	0	3	4			4	0
0	13	130	199	677	1297.0165833095427	74	-1	10	1094	12	8	com.netflix.appinfo.InstanceInfo	0	0	0	15	42	5			13	0
1	2	19	44	98	201.7385690615052	190	0	0	32	4	0	com.netflix.discovery.providers.DefaultEurekaClientConfigProvider	0	0	0	5	2	1			1	0
-1	0	8	39	52	154.09850502467566	89	0	1	36	4	0	com.netflix.discovery.provider.ISerializer	0	0	0	4	0	2			2	0
0	2	98	206	894	1399.9153896857438	88	-1	9	224	28	18	com.netflix.discovery.provider.DiscoveryJerseyProvider	0	0	0	17	2	7			25	0
0	0	28	72	144	357.8265575694721	87	0	3	70	6	8	com.netflix.discovery.converters.XmlXStream	0	0	0	8	1	3	singleton	Singleton	11	0
0	1	36	108	265	602.610821206512	85	-1	3	92	15	12	com.netflix.discovery.converters.EntityBodyConverter	0	0	0	6	2	3			15	0
0	3	451	440	3746	3620.5153085217744	84	-1	0	783	10	24	com.netflix.discovery.converters.Converters	0	0	0	26	9	2			26	-1
0	1	34	76	178	393.8155498221985	86	0	4	74	9	8	com.netflix.discovery.converters.JsonXStream	0	0	0	9	2	4	singleton	Singleton	12	0
1	2	20	44	105	204.77425540693102	187	0	0	38	4	2	com.netflix.appinfo.providers.CloudInstanceConfigProvider	0	0	0	6	2	1			3	0
0	3	35	95	254	526.046755366761	188	0	0	102	6	50	com.netflix.appinfo.providers.EurekaConfigBasedInstanceInfoProvider	0	0	0	12	3	2	context	State	52	0
1	2	16	30	89	134.6590910919642	189	0	0	29	4	2	com.netflix.appinfo.providers.MyDataCenterInstanceConfigProvider	0	0	0	5	2	1			3	0
0	1	46	113	288	639.9145342553619	121	-1	3	100	6	20	com.netflix.eureka.SampleEurekaClient	0	0	0	14	1	3			23	-1
0	2	89	160	629	1031.0610010720707	122	-1	6	171	9	23	com.netflix.eureka.SampleEurekaService	0	0	0	16	2	4			27	-1
0	7	122	175	616	1124.0682186183658	199	0	44	175	26	54	com.netflix.eureka.AbstractTester	0	0	3	22	14	12			66	0
-1	0	87	133	592	849.0063824395727	164	-1	28	123	24	54	com.netflix.eureka.InstanceRegistryTest	8	0	0	7	0	8			62	-1
